cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
BT-v1,BT-v2,2,102,0.019230769230769232,5.384961754264932e-28,6.677352575288515e-26,True
BT-v1,BT-v3,1,108,0.009174311926605505,3.389636702121535e-31,4.440424079779211e-29,True
BT-v2,BT-v2,51,51,0.5,1.0,1.0,False
BT-v2,BT-v3,152,15,0.9101796407185628,1.0384614835804017e-29,1.3396153138187183e-27,True
BT-v3,BT-v2,15,152,0.08982035928143713,1.0384614835804017e-29,1.3396153138187183e-27,True
BT-v3,BT-v3,67,67,0.5,1.0,1.0,False
HYB-s0-b0-a0.25,BT-v2,52,58,0.4727272727272727,0.6337556480191593,1.0,False
HYB-s0-b0-a0.25,BT-v3,148,16,0.9024390243902439,5.883217541821915e-28,7.236357576440955e-26,True
HYB-s0-b0-a0.50,BT-v2,43,65,0.39814814814814814,0.04280722079922558,1.0,False
HYB-s0-b0-a0.50,BT-v3,149,18,0.8922155688622755,7.482437985622533e-27,9.053749962603264e-25,True
HYB-s0-b0-a0.75,BT-v2,45,72,0.38461538461538464,0.015864496824406386,0.5393928920298171,False
HYB-s0-b0-a0.75,BT-v3,145,22,0.8682634730538922,2.0890323117801408e-23,2.3814968354293605e-21,True
HYB-s0-b100-a0.25,BT-v2,57,74,0.4351145038167939,0.16188152458394647,1.0,False
HYB-s0-b100-a0.25,BT-v3,148,15,0.9079754601226994,1.1394687722815318e-28,1.4357306530747302e-26,True
HYB-s0-b100-a0.50,BT-v2,66,51,0.5641025641025641,0.19534905940457784,1.0,False
HYB-s0-b100-a0.50,BT-v3,134,19,0.8758169934640523,1.684438433071452e-22,1.8697266607093118e-20,True
HYB-s0-b100-a0.75,BT-v2,74,42,0.6379310344827587,0.0038069274291090776,0.14466324230614494,False
HYB-s0-b100-a0.75,BT-v3,138,16,0.8961038961038961,2.110387955035952e-25,2.469153907392064e-23,True
HYB-s0-b200-a0.25,BT-v2,52,48,0.52,0.7643534344026669,1.0,False
HYB-s0-b200-a0.25,BT-v3,112,25,0.8175182481751825,2.403640054084458e-14,1.8748392421858773e-12,True
HYB-s0-b200-a0.50,BT-v2,57,37,0.6063829787234043,0.049450065253179916,1.0,False
HYB-s0-b200-a0.50,BT-v3,101,21,0.8278688524590164,9.677506062033449e-14,7.354904607145422e-12,True
HYB-s0-b200-a0.75,BT-v2,84,27,0.7567567567567568,5.46197809541596e-08,3.113327514387097e-06,True
HYB-s0-b200-a0.75,BT-v3,124,23,0.8435374149659864,6.0789951352681256e-18,5.957415232562763e-16,True
HYB-s0-b300-a0.25,BT-v2,52,40,0.5652173913043478,0.25132210347485456,1.0,False
HYB-s0-b300-a0.25,BT-v3,116,17,0.8721804511278195,2.643235632987314e-19,2.7225327019769335e-17,True
HYB-s0-b300-a0.50,BT-v2,65,25,0.7222222222222222,2.9664529225201866e-05,0.0014535619320348915,True
HYB-s0-b300-a0.50,BT-v3,84,27,0.7567567567567568,5.46197809541596e-08,3.113327514387097e-06,True
HYB-s0-b300-a0.75,BT-v2,106,25,0.8091603053435115,4.547888946408773e-13,3.319958930878405e-11,True
HYB-s0-b300-a0.75,BT-v3,109,26,0.8074074074074075,2.766311459016305e-13,2.047070479672066e-11,True
HYB-s1-b100-a0.25,BT-v2,60,51,0.5405405405405406,0.4478061321437484,1.0,False
HYB-s1-b100-a0.25,BT-v3,146,12,0.9240506329113924,1.9612726503036144e-30,2.549654445394699e-28,True
HYB-s1-b100-a0.50,BT-v2,62,41,0.6019417475728155,0.04823365217099688,1.0,False
HYB-s1-b100-a0.50,BT-v3,158,11,0.9349112426035503,1.6561755167063462e-34,2.219275192386504e-32,True
HYB-s1-b100-a0.75,BT-v2,75,40,0.6521739130434783,0.001412957498607674,0.05651829994430696,False
HYB-s1-b100-a0.75,BT-v3,139,16,0.896774193548387,1.1755851239034877e-25,1.3871904462061154e-23,True
HYB-s1-b200-a0.25,BT-v2,58,51,0.5321100917431193,0.5657001139736346,1.0,False
HYB-s1-b200-a0.25,BT-v3,136,19,0.8774193548387097,5.462119416967247e-23,6.117573747003316e-21,True
HYB-s1-b200-a0.50,BT-v2,75,36,0.6756756756756757,0.0002718177522028417,0.011688163344722195,True
HYB-s1-b200-a0.50,BT-v3,130,15,0.896551724137931,4.813511452666796e-24,5.583673285093484e-22,True
HYB-s1-b200-a0.75,BT-v2,99,28,0.7795275590551181,1.71744082628715e-10,1.1163365370866475e-08,True
HYB-s1-b200-a0.75,BT-v3,154,13,0.9221556886227545,9.113778720543226e-32,1.2030187911117058e-29,True
HYB-s1-b300-a0.25,BT-v2,66,44,0.6,0.04476209415697338,1.0,False
HYB-s1-b300-a0.25,BT-v3,141,20,0.8757763975155279,1.3071098149359169e-23,1.5031762871763044e-21,True
HYB-s1-b300-a0.50,BT-v2,84,31,0.7304347826086957,8.028561762207067e-07,4.174852116347675e-05,True
HYB-s1-b300-a0.50,BT-v3,129,24,0.8431372549019608,1.393061756076008e-18,1.406992373636768e-16,True
HYB-s1-b300-a0.75,BT-v2,88,22,0.8,1.5502748845162157e-10,1.0231814237807023e-08,True
HYB-s1-b300-a0.75,BT-v3,159,13,0.9244186046511628,4.227536149253027e-33,5.622623078506526e-31,True
HYB-s2-b100-a0.25,BT-v2,51,41,0.5543478260869565,0.3481412903192059,1.0,False
HYB-s2-b100-a0.25,BT-v3,139,14,0.9084967320261438,4.653754863960281e-27,5.677580934031543e-25,True
HYB-s2-b100-a0.50,BT-v2,57,32,0.6404494382022472,0.010546897231105523,0.3691414030886933,False
HYB-s2-b100-a0.50,BT-v3,129,16,0.8896551724137931,3.9486813615345247e-23,4.462009938534013e-21,True
HYB-s2-b100-a0.75,BT-v2,91,23,0.7982456140350878,9.29097217602857e-11,6.317861079699427e-09,True
HYB-s2-b100-a0.75,BT-v3,129,22,0.8543046357615894,1.2985264549289515e-19,1.3504675131261096e-17,True
HYB-s2-b200-a0.25,BT-v2,59,41,0.59,0.08862608011406767,1.0,False
HYB-s2-b200-a0.25,BT-v3,114,23,0.8321167883211679,1.090507026135235e-15,9.269309722149497e-14,True
HYB-s2-b200-a0.50,BT-v2,64,37,0.6336633663366337,0.009335048120644805,0.336061732343213,False
HYB-s2-b200-a0.50,BT-v3,95,21,0.8189655172413793,1.972638273199072e-12,1.420299556703332e-10,True
HYB-s2-b200-a0.75,BT-v2,94,21,0.8173913043478261,3.240204200619261e-12,2.2681429404334827e-10,True
HYB-s2-b200-a0.75,BT-v3,122,20,0.8591549295774648,4.795961866809294e-19,4.89188110414548e-17,True
HYB-s2-b300-a0.25,BT-v2,57,37,0.6063829787234043,0.049450065253179916,1.0,False
HYB-s2-b300-a0.25,BT-v3,90,23,0.7964601769911505,1.4884906475803411e-10,9.972887338788285e-09,True
HYB-s2-b300-a0.50,BT-v2,64,26,0.7111111111111111,7.657072931048342e-05,0.003445682818971754,True
HYB-s2-b300-a0.50,BT-v3,85,24,0.7798165137614679,3.504828331234894e-09,2.1028969987409364e-07,True
HYB-s2-b300-a0.75,BT-v2,101,32,0.7593984962406015,1.592089822624454e-09,9.870956900271616e-08,True
HYB-s2-b300-a0.75,BT-v3,105,33,0.7608695652173914,6.093645485136748e-10,3.8999331104875186e-08,True
HYB-s3-b100-a0.25,BT-v2,52,49,0.5148514851485149,0.8423820985077433,1.0,False
HYB-s3-b100-a0.25,BT-v3,88,31,0.7394957983193278,1.668715688008364e-07,9.177936284046001e-06,True
HYB-s3-b100-a0.50,BT-v2,44,49,0.4731182795698925,0.6785320136533252,1.0,False
HYB-s3-b100-a0.50,BT-v3,74,33,0.6915887850467289,9.18202620626861e-05,0.004040091530758188,True
HYB-s3-b100-a0.75,BT-v2,58,35,0.6236559139784946,0.022018588373923325,0.7266134163394697,False
HYB-s3-b100-a0.75,BT-v3,86,40,0.6825396825396826,5.103265178960252e-05,0.0023985346341113185,True
HYB-s3-b200-a0.25,BT-v2,50,59,0.45871559633027525,0.44366950120234916,1.0,False
HYB-s3-b200-a0.25,BT-v3,75,39,0.6578947368421053,0.0009591967698984278,0.03932706756583554,True
HYB-s3-b200-a0.50,BT-v2,54,58,0.48214285714285715,0.7769647513696718,1.0,False
HYB-s3-b200-a0.50,BT-v3,67,39,0.6320754716981132,0.008416993570533987,0.31142876210975756,False
HYB-s3-b200-a0.75,BT-v2,73,54,0.5748031496062992,0.1098495025660595,1.0,False
HYB-s3-b200-a0.75,BT-v3,83,37,0.6916666666666667,3.243159445418542e-05,0.0015567165338009003,True
HYB-s3-b300-a0.25,BT-v2,55,43,0.5612244897959183,0.2664055944111921,1.0,False
HYB-s3-b300-a0.25,BT-v3,120,24,0.8333333333333334,1.4916559831780758e-16,1.3723235045238297e-14,True
HYB-s3-b300-a0.50,BT-v2,56,56,0.5,1.0,1.0,False
HYB-s3-b300-a0.50,BT-v3,92,35,0.7244094488188977,4.3609050114827153e-07,2.3548887062006663e-05,True
HYB-s3-b300-a0.75,BT-v2,85,31,0.7327586206896551,5.444609183150127e-07,2.885642867069567e-05,True
HYB-s3-b300-a0.75,BT-v3,104,26,0.8,3.025786266290503e-12,2.148308249066257e-10,True
HYB-s4-b100-a0.25,BT-v2,51,45,0.53125,0.610068266105178,1.0,False
HYB-s4-b100-a0.25,BT-v3,120,18,0.8695652173913043,1.087064198398728e-19,1.1414174083186645e-17,True
HYB-s4-b100-a0.50,BT-v2,54,36,0.6,0.07254953219246177,1.0,False
HYB-s4-b100-a0.50,BT-v3,126,20,0.863013698630137,5.407411042600246e-20,5.7318557051562604e-18,True
HYB-s4-b100-a0.75,BT-v2,66,27,0.7096774193548387,6.467045262218053e-05,0.002974840820620304,True
HYB-s4-b100-a0.75,BT-v3,126,19,0.8689655172413793,1.4679742967742358e-20,1.5707324975484323e-18,True
HYB-s4-b200-a0.25,BT-v2,62,52,0.543859649122807,0.39937318688053813,1.0,False
HYB-s4-b200-a0.25,BT-v3,110,20,0.8461538461538461,2.9914264919694234e-16,2.6232658034716724e-14,True
HYB-s4-b200-a0.50,BT-v2,66,44,0.6,0.04476209415697338,1.0,False
HYB-s4-b200-a0.50,BT-v3,119,24,0.8321678321678322,2.491070910758037e-16,2.2668745287898137e-14,True
HYB-s4-b200-a0.75,BT-v2,103,33,0.7573529411764706,1.419571074706475e-09,8.943297770650792e-08,True
HYB-s4-b200-a0.75,BT-v3,147,19,0.8855421686746988,1.0499069308703426e-25,1.2493892477357076e-23,True
HYB-s4-b300-a0.25,BT-v2,57,39,0.59375,0.08219306855694346,1.0,False
HYB-s4-b300-a0.25,BT-v3,108,23,0.8244274809160306,2.295317592526725e-14,1.8362540740213802e-12,True
HYB-s4-b300-a0.50,BT-v2,74,30,0.7115384615384616,1.8940835677418383e-05,0.0009659826195483375,True
HYB-s4-b300-a0.50,BT-v3,96,24,0.8,2.162228172529954e-11,1.4919374390456682e-09,True
HYB-s4-b300-a0.75,BT-v2,114,19,0.8571428571428571,1.0551613780244042e-17,1.0129549229034281e-15,True
HYB-s4-b300-a0.75,BT-v3,134,20,0.8701298701298701,6.540692496507491e-22,7.06394789622809e-20,True
RL-s0-b0-a1.00,BT-v2,43,68,0.38738738738738737,0.022297954801947985,0.7266134163394697,False
RL-s0-b0-a1.00,BT-v3,154,18,0.8953488372093024,4.074445781426416e-28,5.09305722678302e-26,True
RL-s0-b100-a1.00,BT-v2,57,77,0.4253731343283582,0.10036570149746177,1.0,False
RL-s0-b100-a1.00,BT-v3,142,16,0.8987341772151899,2.023295807001298e-26,2.4279549684015576e-24,True
RL-s0-b200-a1.00,BT-v2,93,28,0.768595041322314,2.4401043194765048e-09,1.488463634880668e-07,True
RL-s0-b200-a1.00,BT-v3,120,29,0.8053691275167785,2.3641233503845848e-14,1.867657446803822e-12,True
RL-s0-b300-a1.00,BT-v2,112,24,0.8235294117647058,8.676026674232843e-15,7.114341872870931e-13,True
RL-s0-b300-a1.00,BT-v3,119,24,0.8321678321678322,2.491070910758037e-16,2.2668745287898137e-14,True
RL-s1-b100-a1.00,BT-v2,55,36,0.6043956043956044,0.058573528410188855,1.0,False
RL-s1-b100-a1.00,BT-v3,122,23,0.8413793103448276,1.73419434072608e-17,1.647484623689776e-15,True
RL-s1-b200-a1.00,BT-v2,115,25,0.8214285714285714,5.4081768250748685e-15,4.488786764812141e-13,True
RL-s1-b200-a1.00,BT-v3,136,28,0.8292682926829268,3.158922745830929e-18,3.158922745830929e-16,True
RL-s1-b300-a1.00,BT-v2,129,17,0.8835616438356164,1.710414012325665e-22,1.8814554135582314e-20,True
RL-s1-b300-a1.00,BT-v3,137,21,0.8670886075949367,4.663888986812997e-22,5.083638995626167e-20,True
RL-s2-b100-a1.00,BT-v2,79,22,0.7821782178217822,1.012134755360389e-08,5.971595056626295e-07,True
RL-s2-b100-a1.00,BT-v3,122,23,0.8413793103448276,1.73419434072608e-17,1.647484623689776e-15,True
RL-s2-b200-a1.00,BT-v2,105,18,0.8536585365853658,3.9641704747498244e-16,3.409186608284849e-14,True
RL-s2-b200-a1.00,BT-v3,112,18,0.8615384615384616,8.921023429334677e-18,8.653392726454637e-16,True
RL-s2-b300-a1.00,BT-v2,130,34,0.7926829268292683,1.9801428445937144e-14,1.6039157041209086e-12,True
RL-s2-b300-a1.00,BT-v3,131,30,0.8136645962732919,2.980983867581446e-16,2.6232658034716724e-14,True
RL-s3-b100-a1.00,BT-v2,50,49,0.5050505050505051,1.0,1.0,False
RL-s3-b100-a1.00,BT-v3,77,40,0.6581196581196581,0.0007995844433963236,0.03358254662264559,True
RL-s3-b200-a1.00,BT-v2,108,40,0.7297297297297297,2.0722273302304695e-08,1.2018918515336723e-06,True
RL-s3-b200-a1.00,BT-v3,124,32,0.7948717948717948,5.523336630751778e-14,4.252969205678869e-12,True
RL-s3-b300-a1.00,BT-v2,116,29,0.8,1.5922199070946208e-13,1.1941649303209656e-11,True
RL-s3-b300-a1.00,BT-v3,127,28,0.8193548387096774,2.9129823112383076e-16,2.592554257002094e-14,True
RL-s4-b100-a1.00,BT-v2,60,31,0.6593406593406593,0.00311268984839376,0.12139490408735663,False
RL-s4-b100-a1.00,BT-v3,113,24,0.8248175182481752,5.247371793292725e-15,4.4077923063658886e-13,True
RL-s4-b200-a1.00,BT-v2,97,46,0.6783216783216783,2.4079083066617164e-05,0.0012039541533308581,True
RL-s4-b200-a1.00,BT-v3,156,17,0.9017341040462428,2.600801081324503e-29,3.303017373282119e-27,True
RL-s4-b300-a1.00,BT-v2,123,24,0.8367346938775511,3.177259588075142e-17,2.954851416909882e-15,True
RL-s4-b300-a1.00,BT-v3,131,26,0.8343949044585988,4.667996682495814e-18,4.621316715670856e-16,True
